央视,#genre#
AXN电影台,p3p://173.208.176.178:19806/6258ddc5000ee8a40e1bc8f50dec545c
KTSF-26台,p3p://173.208.176.178:19806/653e4cda0007743f0c8fade86d132b26
BOO电影台,p3p://173.208.176.178:19806/5fded40700033e036d5ebd8604bf417b
THrill-电影,p3p://173.208.176.178:19806/630c2b9400044df5ca7abd7159677c41
Cinemaxhk,p3p://173.208.176.178:19806/65b1767d00058cdcce68527c3131148e
Cinemaxhk,p3p://173.208.176.178:19806/64ce039d0009f00b55f3e422778f3af3
Lovenature,p3p://173.208.176.178:19806/655fa9280009c6278edfc1176731425f
Lovenature,p3p://173.208.176.178:19806/6233fcfa000be8f27e0f78035e656379
OneTV综合,p3p://173.208.176.178:19806/64d5c5550007c4d9744057ea09db782a
创世电视台,p3p://173.208.176.178:19806/65ac3ff5000d8862ba0b51494dc3254e
AnimaxHK,p3p://173.208.176.178:19806/6506d1a00000a99a33d7555a4b747caa
EYE-戏剧台,p3p://173.208.176.178:19806/64c62f0c000d47c0375d8ea3081775da
EYE-旅游台,p3p://173.208.176.178:19806/64c105a500023b4e2333fd1453e42393
罪案追缉CI,p3p://173.208.176.178:19806/623baf7a0004e5d79c2047cd46107be2
彩昌影剧台,p3p://173.208.176.178:19806/621de2ed000a255d27ba994346c66a7c
尼克JR频道,p3p://173.208.176.178:19806/6233e05300064fcf7d9f8a39563b6c75
达芬奇频道,p3p://173.208.176.178:19806/62011f820008c9f3c33ae0231cf86a05
CN-卡通台,p3p://173.208.176.178:19806/61ded38e000d52023d43f93e0ee00012
靖天卡通台,p3p://173.208.176.178:19806/625b6d3800022fe9181c1ee5362c159d
探索亚洲台,p3p://173.208.176.178:19806/623bc4f4000da3919c742e942bdb3571
bbc-eart台,p3p://173.208.176.178:19806/6444eb2e000921503e6ecfe873cd10b1
中旺电视台,p3p://173.208.176.178:19806/5fe09c570001addf7454c44e021f76be
壹电影频道,p3p://173.208.176.178:19806/651c3a7e00035f9e8778a18d0aeb27f1
靖天国际台,p3p://173.208.176.178:19806/612db8220006940e897960753ab534e9
龙华日韩台,p3p://173.208.176.178:19806/621e1d0e00085766289da9bb1d7120af
靖天戏剧台,p3p://173.208.176.178:19806/612db70e000298f98975294e4645098b
影迷数位台,p3p://173.208.176.178:19806/6223ae1b0007136f3e5c44280e3300fa
WarnerTV,p3p://173.208.176.178:19806/623a7c43000859b0977039e0175b0470
靖天综合台,p3p://173.208.176.178:19806/6223bd68000c7a903e980a5524d66f67
靖天映画台,p3p://173.208.176.178:19806/6258eae500040fd80e4f0b2311754279
美食星球台,p3p://173.208.176.178:19806/62c9a5620009f165c6a22320701370b6
History-台,p3p://173.208.176.178:19806/6233e1a30007e08d7da4ab21717b3e79
JET-综合台,p3p://173.208.176.178:19806/621e14f2000381b7287dfb1557135ff8
靖天欢乐台,p3p://173.208.176.178:19806/6258f7e400070ac10e81d00831393e97
靖天育乐台,p3p://173.208.176.178:19806/6223be04000a57323e9a6b2919b21d76
影迷纪实台,p3p://173.208.176.178:19806/62c9a2fe00025fc4c698ca952e9711cb
amc电影台,p3p://173.208.176.178:19806/625bbd49000d7c0d1954e42d45bc3182
靖天电影台,p3p://173.208.176.178:19806/61ed0469000059af74b25aa267531e5a
Mtv闽南台,p3p://173.208.176.178:19806/621e1827000d7a3a288a84ae70c44b0d
Lifetime韩,p3p://173.208.176.178:19806/623a91f0000d3ab297c4e6e2101d46b4
